[16/12/25 12:08:54] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.530s)
[16/12/25 12:12:27] | DEBUG | EXP:None | CALL go_to_vial('rack1', 2)
[16/12/25 12:12:27] | DEBUG | EXP:None | CALL move_z(45.0)
[16/12/25 12:12:28] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.523s)
[16/12/25 12:12:28] | DEBUG | EXP:None | CALL move_xy(np.float64(35.6), np.float64(25.700000000000003), module_name='rack1')
[16/12/25 12:12:28] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=35.6, Y=25.700000000000003. Result: Move XY: 2, Success' (Duration: 0.562s)
[16/12/25 12:12:28] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(35.6), np.float64(25.700000000000003)) (Duration: 1.086s)
[16/12/25 12:12:57] | DEBUG | EXP:None | CALL go_to_vial('rack1', 17)
[16/12/25 12:12:57] | DEBUG | EXP:None | CALL move_xy(np.float64(52.150000000000006), np.float64(16.9), module_name='rack1')
[16/12/25 12:12:58] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=52.150000000000006, Y=16.9. Result: Move XY: 2, Success' (Duration: 0.519s)
[16/12/25 12:12:58] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(52.150000000000006), np.float64(16.9)) (Duration: 0.521s)
[16/12/25 12:13:01] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 12:13:02] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.528s)
[16/12/25 12:28:06] | DEBUG | EXP:None | CALL move_z(50, allow_in_vial=True)
[16/12/25 12:28:07] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 50. Result: Move Z: 2, Success' (Duration: 0.538s)
[16/12/25 12:28:09] | DEBUG | EXP:None | CALL go_to_vial('rack1', 16)
[16/12/25 12:28:09] | DEBUG | EXP:None | CALL move_xy(np.float64(35.6), np.float64(272.1), module_name='rack1')
[16/12/25 12:28:10] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=35.6, Y=272.1. Result: No valid response received.' (Duration: 0.528s)
[16/12/25 12:28:10] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(35.6), np.float64(272.1)) (Duration: 0.538s)
[16/12/25 12:28:27] | DEBUG | EXP:None | CALL go_to_vial('rack1', 1)
[16/12/25 12:28:27] | DEBUG | EXP:None | CALL move_xy(np.float64(35.6), np.float64(8.1), module_name='rack1')
